n,time
1,2.384185791015625e-07
2,2.384185791015625e-07
3,2.384185791015625e-07
4,4.76837158203125e-07
5,4.76837158203125e-07
6,7.152557373046875e-07
7,9.5367431640625e-07
8,9.5367431640625e-07
9,1.1920928955078125e-06
10,1.430511474609375e-06
11,1.6689300537109375e-06
12,2.1457672119140625e-06
13,2.1457672119140625e-06
14,2.6226043701171875e-06
15,3.0994415283203125e-06
16,3.0994415283203125e-06
17,3.814697265625e-06
18,4.0531158447265625e-06
19,4.291534423828125e-06
20,4.76837158203125e-06
21,5.0067901611328125e-06
22,5.4836273193359375e-06
23,5.9604644775390625e-06
24,6.67572021484375e-06
25,7.3909759521484375e-06
26,7.867813110351562e-06
27,8.106231689453125e-06
28,8.821487426757812e-06
29,9.298324584960938e-06
30,1.0013580322265625e-05
31,1.0251998901367188e-05
32,1.1086463928222656e-05
33,1.1682510375976562e-05
34,1.239776611328125e-05
35,1.2636184692382812e-05
36,1.3589859008789062e-05
37,1.430511474609375e-05
38,1.5497207641601562e-05
39,1.5974044799804688e-05
40,1.6689300537109375e-05
41,1.7404556274414062e-05
42,1.8358230590820312e-05
43,1.8835067749023438e-05
44,2.4080276489257812e-05
45,2.7179718017578125e-05
46,2.7894973754882812e-05
47,2.7894973754882812e-05
48,2.968311309814453e-05
49,2.753734588623047e-05
50,2.574920654296875e-05
51,2.6702880859375e-05
52,2.7060508728027344e-05
53,2.8252601623535156e-05
54,2.9206275939941406e-05
55,3.0994415283203125e-05
56,3.135204315185547e-05
57,3.254413604736328e-05
58,3.3855438232421875e-05
59,3.981590270996094e-05
60,3.9458274841308594e-05
61,3.838539123535156e-05
62,3.8623809814453125e-05
63,4.100799560546875e-05
64,4.363059997558594e-05
65,4.9233436584472656e-05
66,4.267692565917969e-05
67,4.458427429199219e-05
68,4.5418739318847656e-05
69,4.673004150390625e-05
70,4.756450653076172e-05
71,4.887580871582031e-05
72,4.971027374267578e-05
73,5.173683166503906e-05
74,5.245208740234375e-05
75,5.4836273193359375e-05
76,5.626678466796875e-05
77,5.7697296142578125e-05
78,5.829334259033203e-05
79,5.9604644775390625e-05
80,6.258487701416016e-05
81,6.473064422607422e-05
82,7.939338684082031e-05
83,6.663799285888672e-05
84,7.021427154541016e-05
85,7.236003875732422e-05
86,9.40561294555664e-05
87,7.486343383789062e-05
88,7.510185241699219e-05
89,7.772445678710938e-05
90,7.891654968261719e-05
91,8.082389831542969e-05
92,8.273124694824219e-05
93,8.273124694824219e-05
94,8.535385131835938e-05
95,8.761882781982422e-05
96,8.881092071533203e-05
97,8.96453857421875e-05
98,9.071826934814453e-05
99,9.47713851928711e-05
100,9.679794311523438e-05
101,9.751319885253906e-05
102,9.846687316894531e-05
103,0.00010061264038085938
104,0.00010311603546142578
105,0.00010442733764648438
106,0.00010645389556884766
107,0.0001100301742553711
108,0.00011074542999267578
109,0.00011336803436279297
110,0.00011420249938964844
111,0.0001157522201538086
112,0.00011897087097167969
113,0.00012135505676269531
114,0.0001227855682373047
115,0.00012421607971191406
116,0.00012731552124023438
117,0.0001277923583984375
118,0.00013256072998046875
119,0.00013363361358642578
120,0.0001342296600341797
121,0.0001361370086669922
122,0.00014007091522216797
123,0.00014066696166992188
124,0.0001455545425415039
125,0.00014519691467285156
126,0.00014960765838623047
127,0.00015306472778320312
128,0.00015270709991455078
129,0.00015652179718017578
130,0.0001589059829711914
131,0.00016021728515625
132,0.00016367435455322266
133,0.0001672506332397461
134,0.00016963481903076172
135,0.00017189979553222656
136,0.00017309188842773438
137,0.00017774105072021484
138,0.00017774105072021484
139,0.00017750263214111328
140,0.00018286705017089844
141,0.0001876354217529297
142,0.00018930435180664062
143,0.00019025802612304688
144,0.00019371509552001953
145,0.00019598007202148438
146,0.00019669532775878906
147,0.0001996755599975586
148,0.00020360946655273438
149,0.00020766258239746094
150,0.0002079010009765625
151,0.00021386146545410156
152,0.0002123117446899414
153,0.00022137165069580078
154,0.00022280216217041016
155,0.00022554397583007812
156,0.0002275705337524414
157,0.00022995471954345703
158,0.0002319812774658203
159,0.0002319812774658203
160,0.00023996829986572266
161,0.00023996829986572266
162,0.00024962425231933594
163,0.00024831295013427734
164,0.00025177001953125
165,0.00025391578674316406
166,0.0002536773681640625
167,0.0002568960189819336
168,0.0002611875534057617
169,0.00026786327362060547
170,0.00027179718017578125
171,0.00027358531951904297
172,0.00027751922607421875
173,0.0002803802490234375
174,0.0002808570861816406
175,0.000286102294921875
176,0.00028574466705322266
177,0.00029408931732177734
178,0.00030040740966796875
179,0.00030159950256347656
180,0.00030350685119628906
181,0.00030362606048583984
182,0.0003094673156738281
183,0.0003153085708618164
184,0.0003142356872558594
185,0.0003185272216796875
186,0.0003522634506225586
187,0.0003414154052734375
