n,time
1,4.76837158203125e-07
2,4.76837158203125e-07
3,4.76837158203125e-07
4,7.152557373046875e-07
5,7.152557373046875e-07
6,9.5367431640625e-07
7,1.1920928955078125e-06
8,1.430511474609375e-06
9,1.6689300537109375e-06
10,1.6689300537109375e-06
11,1.9073486328125e-06
12,2.1457672119140625e-06
13,2.6226043701171875e-06
14,2.86102294921875e-06
15,3.814697265625e-06
16,3.5762786865234375e-06
17,3.814697265625e-06
18,4.291534423828125e-06
19,4.76837158203125e-06
20,5.245208740234375e-06
21,5.245208740234375e-06
22,5.9604644775390625e-06
23,6.198883056640625e-06
24,6.9141387939453125e-06
25,7.152557373046875e-06
26,9.059906005859375e-06
27,8.344650268554688e-06
28,8.702278137207031e-06
29,9.298324584960938e-06
30,9.894371032714844e-06
31,1.049041748046875e-05
32,1.0728836059570312e-05
33,1.3828277587890625e-05
34,1.430511474609375e-05
35,1.4543533325195312e-05
36,1.4543533325195312e-05
37,1.4781951904296875e-05
38,1.5139579772949219e-05
39,1.5497207641601562e-05
40,1.5616416931152344e-05
41,1.5854835510253906e-05
42,1.6450881958007812e-05
43,1.6450881958007812e-05
44,1.6927719116210938e-05
45,1.71661376953125e-05
46,1.7642974853515625e-05
47,1.811981201171875e-05
48,1.8835067749023438e-05
49,1.8835067749023438e-05
50,1.9311904907226562e-05
51,2.002716064453125e-05
52,2.0265579223632812e-05
53,2.086162567138672e-05
54,2.1457672119140625e-05
55,2.1457672119140625e-05
56,2.2649765014648438e-05
57,2.2649765014648438e-05
58,2.3245811462402344e-05
59,2.3603439331054688e-05
60,2.4557113647460938e-05
61,2.5033950805664062e-05
62,2.586841583251953e-05
63,2.6702880859375e-05
64,2.6702880859375e-05
65,3.218650817871094e-05
66,3.218650817871094e-05
67,3.24249267578125e-05
68,3.266334533691406e-05
69,3.2782554626464844e-05
70,3.314018249511719e-05
71,3.409385681152344e-05
72,3.361701965332031e-05
73,3.4332275390625e-05
74,3.504753112792969e-05
75,3.4809112548828125e-05
76,3.504753112792969e-05
77,3.528594970703125e-05
78,3.612041473388672e-05
79,3.62396240234375e-05
80,3.6716461181640625e-05
81,3.707408905029297e-05
82,3.7670135498046875e-05
83,3.790855407714844e-05
84,3.814697265625e-05
85,3.933906555175781e-05
86,3.933906555175781e-05
87,3.993511199951172e-05
88,4.0531158447265625e-05
89,4.1365623474121094e-05
90,4.1961669921875e-05
91,4.267692565917969e-05
92,4.315376281738281e-05
93,4.38690185546875e-05
94,4.482269287109375e-05
95,4.553794860839844e-05
96,4.673004150390625e-05
97,4.875659942626953e-05
98,4.875659942626953e-05
99,4.935264587402344e-05
100,4.9591064453125e-05
101,4.982948303222656e-05
102,5.1140785217285156e-05
103,5.066394805908203e-05
104,5.1021575927734375e-05
105,5.137920379638672e-05
106,5.137920379638672e-05
107,5.1975250244140625e-05
108,5.245208740234375e-05
109,5.340576171875e-05
110,5.3048133850097656e-05
111,5.3882598876953125e-05
112,5.412101745605469e-05
113,5.424022674560547e-05
114,5.53131103515625e-05
115,5.5670738220214844e-05
116,5.650520324707031e-05
117,5.698204040527344e-05
118,5.745887756347656e-05
119,5.841255187988281e-05
120,6.008148193359375e-05
121,5.984306335449219e-05
122,6.020069122314453e-05
123,6.127357482910156e-05
124,6.175041198730469e-05
125,6.175041198730469e-05
126,6.413459777832031e-05
127,6.389617919921875e-05
128,6.556510925292969e-05
129,7.331371307373047e-05
130,7.414817810058594e-05
131,7.43865966796875e-05
132,7.474422454833984e-05
133,7.462501525878906e-05
134,7.510185241699219e-05
135,7.510185241699219e-05
136,7.593631744384766e-05
137,7.62939453125e-05
138,7.677078247070312e-05
139,7.748603820800781e-05
140,7.82012939453125e-05
141,7.784366607666016e-05
142,7.867813110351562e-05
143,7.915496826171875e-05
144,7.939338684082031e-05
145,7.927417755126953e-05
146,8.046627044677734e-05
147,8.106231689453125e-05
148,8.106231689453125e-05
149,8.20159912109375e-05
150,8.153915405273438e-05
151,8.344650268554688e-05
152,8.475780487060547e-05
153,8.428096771240234e-05
154,8.416175842285156e-05
155,8.58306884765625e-05
156,8.58306884765625e-05
157,8.678436279296875e-05
158,8.726119995117188e-05
159,8.7738037109375e-05
160,8.857250213623047e-05
161,9.131431579589844e-05
162,9.202957153320312e-05
163,9.119510650634766e-05
164,9.202957153320312e-05
165,9.250640869140625e-05
166,9.298324584960938e-05
167,9.274482727050781e-05
168,9.34600830078125e-05
169,9.357929229736328e-05
170,9.393692016601562e-05
171,9.453296661376953e-05
172,9.620189666748047e-05
173,9.465217590332031e-05
174,9.644031524658203e-05
175,9.679794311523438e-05
176,9.715557098388672e-05
177,9.72747802734375e-05
178,9.870529174804688e-05
179,9.846687316894531e-05
180,9.822845458984375e-05
181,9.894371032714844e-05
182,9.989738464355469e-05
183,0.00010085105895996094
184,0.00010180473327636719
185,0.00010132789611816406
186,0.00010335445404052734
187,0.00010395050048828125
188,0.00010442733764648438
189,0.00010561943054199219
190,0.00010573863983154297
191,0.0001074075698852539
192,0.00010704994201660156
193,0.00011241436004638672
194,0.0001119375228881836
195,0.0001131296157836914
196,0.00011265277862548828
197,0.0001138448715209961
198,0.00011420249938964844
199,0.00011432170867919922
200,0.00011420249938964844
201,0.00011408329010009766
202,0.0001163482666015625
203,0.0001405477523803711
204,0.0001163482666015625
205,0.00011777877807617188
206,0.00011742115020751953
207,0.00011754035949707031
208,0.00011861324310302734
209,0.000118255615234375
210,0.00011849403381347656
211,0.00011932849884033203
212,0.00012052059173583984
213,0.00011992454528808594
214,0.00012183189392089844
215,0.00012135505676269531
216,0.0001227855682373047
217,0.00012314319610595703
218,0.00012445449829101562
219,0.00012552738189697266
220,0.000125885009765625
221,0.00012624263763427734
222,0.00012636184692382812
223,0.00012862682342529297
224,0.00012886524200439453
225,0.0001302957534790039
226,0.0001308917999267578
227,0.0001308917999267578
228,0.00013065338134765625
229,0.0001327991485595703
230,0.00013387203216552734
231,0.00013339519500732422
232,0.00013339519500732422
233,0.00013327598571777344
234,0.00013434886932373047
235,0.0001354217529296875
236,0.00013577938079833984
237,0.00013637542724609375
238,0.00013625621795654297
239,0.0001367330551147461
240,0.0001379251480102539
241,0.0001385211944580078
242,0.0001386404037475586
243,0.00013947486877441406
244,0.0001404285430908203
245,0.00014078617095947266
246,0.00014138221740722656
247,0.00014162063598632812
248,0.00014269351959228516
249,0.00014448165893554688
250,0.00014388561248779297
251,0.00014519691467285156
252,0.00014591217041015625
253,0.0001461505889892578
254,0.0001474618911743164
255,0.00014829635620117188
256,0.00014853477478027344
257,0.00016498565673828125
258,0.0001666545867919922
259,0.00016760826110839844
260,0.00016808509826660156
261,0.0001672506332397461
262,0.0001685619354248047
263,0.00016880035400390625
264,0.0001691579818725586
265,0.0001684427261352539
266,0.0001685619354248047
267,0.0001691579818725586
268,0.0001704692840576172
269,0.00017023086547851562
270,0.00017118453979492188
271,0.00017178058624267578
272,0.00017249584197998047
273,0.00017309188842773438
274,0.00017380714416503906
275,0.00017380714416503906
276,0.00017344951629638672
277,0.00017380714416503906
278,0.0001742839813232422
279,0.0001747608184814453
280,0.00017523765563964844
281,0.00017762184143066406
282,0.0001767873764038086
283,0.00022423267364501953
284,0.00017845630645751953
285,0.00017893314361572266
286,0.0001800060272216797
287,0.00018036365509033203
288,0.00018143653869628906
289,0.00018393993377685547
290,0.00018477439880371094
291,0.00018453598022460938
292,0.0001862049102783203
293,0.0001857280731201172
294,0.00018513202667236328
295,0.0001856088638305664
296,0.00018668174743652344
297,0.0001863241195678711
298,0.00018775463104248047
299,0.00018727779388427734
300,0.00018846988677978516
301,0.00018787384033203125
302,0.0001888275146484375
303,0.00019025802612304688
304,0.00018990039825439453
305,0.00018978118896484375
306,0.0001913309097290039
307,0.0001920461654663086
308,0.0001933574676513672
309,0.0001926422119140625
310,0.0001938343048095703
311,0.00019299983978271484
312,0.0001952648162841797
313,0.00019633769989013672
314,0.00019681453704833984
315,0.00019598007202148438
316,0.00019800662994384766
317,0.00019931793212890625
318,0.0001995563507080078
319,0.00020170211791992188
320,0.00020229816436767578
321,0.00020885467529296875
322,0.00020754337310791016
323,0.0002073049545288086
324,0.0002086162567138672
325,0.00020956993103027344
326,0.00020992755889892578
327,0.0002105236053466797
328,0.00021123886108398438
329,0.00021004676818847656
330,0.00020968914031982422
331,0.00021135807037353516
332,0.00021207332611083984
333,0.0002124309539794922
334,0.00021278858184814453
335,0.000213623046875
336,0.00021409988403320312
337,0.0002143383026123047
338,0.00021457672119140625
339,0.00021588802337646484
340,0.00021648406982421875
341,0.000217437744140625
342,0.00021791458129882812
343,0.00021779537200927734
344,0.0002187490463256836
345,0.0002205371856689453
346,0.00022149085998535156
347,0.00021970272064208984
348,0.00022161006927490234
349,0.00022292137145996094
350,0.00022411346435546875
351,0.00022339820861816406
352,0.00022423267364501953
353,0.00022780895233154297
354,0.0002276897430419922
355,0.00022900104522705078
356,0.00022923946380615234
